driverId,driver_age,driver_momentum,position_qualifying,q1_millis,reached_q1,q2_millis,reached_q2,q3_millis,reached_q3,constructorId,constructor_momentum,round,circuitId,grid,driver_track_affinity,constructor_track_affinity,constructor_dnf_rate,driver_dnf_rate,circuit_dnf_rate
3,29.15811088295688,7.666666666666667,1,127130.0,True,126723.0,True,125591.0,True,131,5.0,12,13,1,7.571428571428571,6.25,0.1714285714285714,0.1772151898734177,0.2129032258064516
820,23.342915811088297,16.333333333333332,19,132566.0,True,145717.0,False,142753.6,False,206,15.5,12,13,19,19.0,17.0,0.1212121212121212,0.0333333333333333,0.2129032258064516
824,25.05681040383299,14.666666666666666,16,131051.0,True,132470.0,True,142753.6,False,206,15.5,12,13,16,18.0,17.0,0.1212121212121212,0.1666666666666666,0.2129032258064516
1,29.626283367556468,2.333333333333333,2,127280.0,True,126609.0,True,125819.0,True,131,5.0,12,13,2,10.714285714285714,6.25,0.1714285714285714,0.1571428571428571,0.2129032258064516
154,28.35318275154004,18.0,15,130898.0,True,131087.0,True,142753.6,False,208,16.0,12,13,15,16.666666666666668,14.0,0.23,0.3392857142857143,0.2129032258064516
828,23.97535934291581,19.666666666666668,22,134438.0,True,145717.0,False,142753.6,False,207,18.0,12,13,22,19.666666666666668,17.25,0.21,0.4545454545454545,0.2129032258064516
813,29.45927446954141,14.0,17,131261.0,True,145717.0,False,142753.6,False,208,16.0,12,13,17,15.666666666666666,14.0,0.23,0.3043478260869565,0.2129032258064516
821,23.091033538672143,15.333333333333334,16,86999.0,True,86692.0,True,94538.4,False,15,15.0,13,14,15,13.0,12.75,0.2954545454545454,0.2903225806451613,0.1807909604519774
828,24.01368925393566,19.0,22,88562.0,True,95361.2,False,94538.4,False,207,18.83333333333333,13,14,22,19.0,16.0,0.2156862745098039,0.4166666666666667,0.1807909604519774
20,27.1813826146475,5.333333333333333,8,86631.0,True,85769.0,True,85436.0,True,9,4.0,13,14,8,7.857142857142857,11.4375,0.2012578616352201,0.1818181818181818,0.1807909604519774
18,34.63381245722108,8.0,6,86328.0,True,85630.0,True,85379.0,True,1,9.5,13,14,6,8.375,8.0625,0.1729559748427672,0.1635220125786163,0.1807909604519774
815,24.61327857631759,12.333333333333334,10,86569.0,True,85863.0,True,85944.0,True,10,12.333333333333334,13,14,10,10.333333333333334,14.083333333333334,0.2469635627530364,0.25,0.1807909604519774
826,20.366872005475702,14.333333333333334,11,86261.0,True,86070.0,True,94538.4,False,5,12.666666666666666,13,14,21,14.333333333333334,13.6875,0.2955974842767295,0.3333333333333333,0.1807909604519774
8,34.8911704312115,7.0,12,86689.0,True,86110.0,True,94538.4,False,6,5.833333333333333,13,14,11,5.5,5.4375,0.1163522012578616,0.1596638655462184,0.1807909604519774
817,25.1854893908282,2.6666666666666665,9,86721.0,True,85946.0,True,85709.0,True,9,4.0,13,14,9,11.666666666666666,11.4375,0.2012578616352201,0.1612903225806451,0.1807909604519774
818,24.369609856262837,11.0,13,86140.0,True,86157.0,True,94538.4,False,5,12.666666666666666,13,14,12,22.5,13.6875,0.2955974842767295,0.2745098039215686,0.1807909604519774
807,27.05270362765229,12.333333333333334,14,86371.0,True,86279.0,True,94538.4,False,10,12.333333333333334,13,14,13,6.0,14.083333333333334,0.2469635627530364,0.144927536231884,0.1807909604519774
820,23.381245722108144,16.333333333333332,21,88247.0,True,95361.2,False,94538.4,False,206,16.166666666666668,13,14,20,20.0,18.0,0.1287128712871287,0.032258064516129,0.1807909604519774
4,33.1088295687885,4.666666666666667,7,86514.0,True,85525.0,True,85430.0,True,6,5.833333333333333,13,14,7,4.75,5.4375,0.1163522012578616,0.0943396226415094,0.1807909604519774
1,29.66461327857632,8.333333333333334,1,85363.0,True,84560.0,True,84109.0,True,131,5.333333333333333,13,14,1,8.285714285714286,8.75,0.1751412429378531,0.1631205673758865,0.1807909604519774
3,29.196440793976727,2.333333333333333,2,85493.0,True,84600.0,True,84383.0,True,131,5.333333333333333,13,14,2,12.375,8.75,0.1751412429378531,0.1761006289308176,0.1807909604519774
822,25.026694045174537,4.333333333333333,3,86012.0,True,84858.0,True,84697.0,True,3,8.833333333333334,13,14,3,15.0,12.0625,0.2397476340694006,0.0967741935483871,0.1807909604519774
16,31.655030800821358,14.666666666666666,15,87034.0,True,86588.0,True,94538.4,False,15,15.0,13,14,14,15.5,12.75,0.2954545454545454,0.3305785123966942,0.1807909604519774
13,33.36892539356605,13.333333333333334,4,85528.0,True,85046.0,True,84865.0,True,3,8.833333333333334,13,14,4,7.571428571428571,12.0625,0.2397476340694006,0.1381578947368421,0.1807909604519774
825,21.92197125256673,11.0,5,86337.0,True,85973.0,True,85314.0,True,1,9.5,13,14,5,11.0,8.0625,0.1729559748427672,0.0833333333333333,0.1807909604519774
155,27.98357289527721,16.333333333333332,19,87671.0,True,95361.2,False,94538.4,False,207,18.83333333333333,13,14,18,17.0,16.0,0.2156862745098039,0.2857142857142857,0.1807909604519774
824,25.09514031485284,16.0,20,87738.0,True,95361.2,False,94538.4,False,206,16.166666666666668,13,14,19,19.0,18.0,0.1287128712871287,0.1935483870967742,0.1807909604519774
813,29.49760438056126,15.333333333333334,17,87520.0,True,95361.2,False,94538.4,False,208,18.0,13,14,16,12.0,9.25,0.2450980392156862,0.3142857142857143,0.1807909604519774
154,28.39151266255989,20.666666666666668,18,87632.0,True,95361.2,False,94538.4,False,208,18.0,13,14,17,11.5,9.25,0.2450980392156862,0.3508771929824561,0.1807909604519774
813,29.53593429158111,16.0,18,109063.0,True,118593.2,False,118098.2,False,208,17.5,14,15,18,14.666666666666666,9.25,0.2403846153846154,0.3098591549295774,0.2611940298507462
154,28.42984257357974,19.0,16,107862.0,True,107812.0,True,118098.2,False,208,17.5,14,15,16,16.0,9.25,0.2403846153846154,0.3448275862068966,0.2611940298507462
20,27.21971252566735,6.0,4,107476.0,True,106586.0,True,105902.0,True,9,4.166666666666667,14,15,4,2.333333333333333,6.916666666666667,0.2,0.1804511278195488,0.2611940298507462
822,25.065023956194388,5.0,8,107196.0,True,106622.0,True,106187.0,True,3,6.0,14,15,8,13.0,11.166666666666666,0.238244514106583,0.09375,0.2611940298507462
8,34.92950034223135,6.333333333333333,7,106685.0,True,106359.0,True,106170.0,True,6,8.166666666666666,14,15,7,8.5,7.666666666666667,0.11875,0.1583333333333333,0.2611940298507462
13,33.4072553045859,7.0,6,107615.0,True,106472.0,True,106000.0,True,3,6.0,14,15,6,8.8,11.166666666666666,0.238244514106583,0.1372549019607843,0.2611940298507462
826,20.40520191649555,11.333333333333334,10,107656.0,True,106926.0,True,107362.0,True,5,11.166666666666666,14,15,10,11.333333333333334,14.333333333333334,0.29375,0.3076923076923077,0.2611940298507462
825,21.960301163586585,11.333333333333334,9,107976.0,True,106700.0,True,106250.0,True,1,9.666666666666666,14,15,9,11.333333333333334,7.666666666666667,0.171875,0.0769230769230769,0.2611940298507462
815,24.65160848733744,11.333333333333334,15,108143.0,True,107575.0,True,118098.2,False,10,12.666666666666666,14,15,15,9.333333333333334,13.166666666666666,0.2449799196787148,0.2463768115942029,0.2611940298507462
807,27.091033538672143,14.0,13,107370.0,True,107308.0,True,118098.2,False,10,12.666666666666666,14,15,13,11.0,13.166666666666666,0.2449799196787148,0.1428571428571428,0.2611940298507462
820,23.419575633127995,18.0,21,110473.0,True,118593.2,False,118098.2,False,206,17.5,14,15,21,17.0,15.75,0.1359223300970873,0.0625,0.2611940298507462
828,24.05201916495551,19.666666666666668,22,112287.0,True,118593.2,False,118098.2,False,207,19.33333333333333,14,15,22,19.666666666666668,17.25,0.2115384615384615,0.3846153846153846,0.2611940298507462
3,29.234770704996578,2.6666666666666665,2,107244.0,True,105825.0,True,105688.0,True,131,5.166666666666667,14,15,2,5.666666666666667,10.375,0.1731843575418994,0.175,0.2611940298507462
821,23.129363449691997,17.0,14,107970.0,True,107333.0,True,118098.2,False,15,15.166666666666666,14,15,14,12.0,13.375,0.2921348314606741,0.28125,0.2611940298507462
16,31.693360711841205,13.333333333333334,17,108324.0,True,118593.2,False,118098.2,False,15,15.166666666666666,14,15,17,12.4,13.375,0.2921348314606741,0.3278688524590163,0.2611940298507462
18,34.672142368240934,8.0,11,107161.0,True,106943.0,True,118098.2,False,1,9.666666666666666,14,15,11,4.833333333333333,7.666666666666667,0.171875,0.1625,0.2611940298507462
155,28.021902806297057,17.0,20,110405.0,True,118593.2,False,118098.2,False,207,19.33333333333333,14,15,20,16.0,17.25,0.2115384615384615,0.2816901408450704,0.2611940298507462
824,25.13347022587269,17.0,19,109440.0,True,118593.2,False,118098.2,False,206,17.5,14,15,19,18.0,15.75,0.1359223300970873,0.1875,0.2611940298507462
1,29.70294318959617,7.666666666666667,1,106921.0,True,106287.0,True,105681.0,True,131,5.166666666666667,14,15,1,9.5,10.375,0.1731843575418994,0.1619718309859155,0.2611940298507462
4,33.14715947980835,10.0,5,106889.0,True,106328.0,True,105907.0,True,6,8.166666666666666,14,15,5,2.333333333333333,7.666666666666667,0.11875,0.1,0.2611940298507462
817,25.22381930184805,2.333333333333333,3,107488.0,True,106493.0,True,105854.0,True,9,4.166666666666667,14,15,3,16.666666666666668,6.916666666666667,0.2,0.1587301587301587,0.2611940298507462
818,24.407939767282684,11.0,12,107407.0,True,106989.0,True,118098.2,False,5,11.166666666666666,14,15,12,17.0,14.333333333333334,0.29375,0.2692307692307692,0.2611940298507462
807,27.129363449691997,10.333333333333334,14,95000.0,True,95099.0,True,104002.8,False,10,8.833333333333334,15,22,13,11.0,13.5,0.2430278884462151,0.1408450704225352,0.1838235294117647
824,25.17180013689254,17.333333333333332,20,96943.0,True,105249.1,False,104002.8,False,206,17.833333333333332,15,22,18,22.0,19.25,0.1333333333333333,0.1818181818181818,0.1838235294117647
16,31.731690622861056,16.0,15,95736.0,True,95364.0,True,104002.8,False,15,17.0,15,22,14,14.0,9.25,0.3,0.3333333333333333,0.1838235294117647
821,23.16769336071184,18.0,16,95308.0,True,95681.0,True,104002.8,False,15,17.0,15,22,15,7.0,9.25,0.3,0.303030303030303,0.1838235294117647
825,21.998631074606436,10.666666666666666,7,94930.0,True,94229.0,True,94242.0,True,1,10.666666666666666,15,22,7,10.666666666666666,6.5,0.1739130434782608,0.0714285714285714,0.1838235294117647
4,33.1854893908282,10.666666666666666,5,94497.0,True,93675.0,True,93740.0,True,6,8.833333333333334,15,22,5,7.166666666666667,9.166666666666666,0.1180124223602484,0.0993788819875776,0.1838235294117647
154,28.468172484599588,16.333333333333332,18,95984.0,True,105249.1,False,104002.8,False,208,16.0,15,22,16,12.666666666666666,8.25,0.2358490566037736,0.3389830508474576,0.1838235294117647
828,24.09034907597536,17.333333333333332,19,96813.0,True,105249.1,False,104002.8,False,207,18.83333333333333,15,22,17,17.333333333333332,17.75,0.2169811320754717,0.3571428571428571,0.1838235294117647
813,29.57426420260096,15.666666666666666,17,95917.0,True,105249.1,False,104002.8,False,208,16.0,15,22,22,12.666666666666666,8.25,0.2358490566037736,0.3055555555555556,0.1838235294117647
815,24.689938398357288,7.333333333333333,12,95439.0,True,95089.0,True,104002.8,False,10,8.833333333333334,15,22,11,15.0,13.5,0.2430278884462151,0.2428571428571428,0.1838235294117647
826,20.4435318275154,11.333333333333334,13,95210.0,True,95092.0,True,104002.8,False,5,10.666666666666666,15,22,12,11.333333333333334,14.75,0.2919254658385093,0.2857142857142857,0.1838235294117647
